model_name,sampling_strategy,delta_val_f1,delta_val_recall,delta_val_mcc
decision_tree,smote,0.23347013223894209,0.32,0.23031750654389338
decision_tree,smote_tomek,0.21914132379248652,0.32,0.2158954633823511
decision_tree,adasyn,0.18224964404366395,0.24000000000000005,0.17808008318098045
decision_tree,random_undersample,0.09363525091799263,0.48000000000000004,0.12425014499987064
knn,adasyn,0.09123307198859587,0.0,0.07906891705465913
knn,smote,0.058446186742694195,-0.039999999999999925,0.044686379939033016
knn,smote_tomek,0.058446186742694195,-0.039999999999999925,0.044686379939033016
gradient_boosting,smote,0.047919293820933184,-0.07999999999999996,0.038204020080661594
gradient_boosting,adasyn,0.02868852459016391,-0.040000000000000036,0.021963556422205044
gradient_boosting,smote_tomek,0.02868852459016391,-0.040000000000000036,0.021963556422205044
logistic_regression,smote,0.002092779909312892,-0.19999999999999996,-0.007160028420547415
random_forest,baseline,0.0,0.0,0.0
random_forest,smote_tomek,0.0,0.0,0.0
random_forest,smote,0.0,0.0,0.0
random_forest,adasyn,0.0,0.0,0.0
gradient_boosting,baseline,0.0,0.0,0.0
logistic_regression,baseline,0.0,0.0,0.0
logistic_regression,adasyn,0.0,0.0,0.0
logistic_regression,smote_tomek,0.0,0.0,0.0
knn,baseline,0.0,0.0,0.0
decision_tree,baseline,0.0,0.0,0.0
gradient_boosting,random_undersample,-0.04438839848675913,0.0,-0.03906506015606659
random_forest,random_undersample,-0.08201058201058198,-0.12,-0.08683929577215399
logistic_regression,random_undersample,-0.16434945009338042,0.0,-0.14027021498444525
knn,random_undersample,-0.1662404092071611,-0.24,-0.18076803605487868
